Date,Equity,Cash,HoldingsValue,Regime,Fragility,Daily_Return
2007-01-03,100000.0,100000.0,0.0,Neutral,50.0,
2007-01-04,100000.0,100000.0,0.0,Neutral,42.5,0.0
2007-01-05,100000.0,100000.0,0.0,Risk-Off,61.66666666666667,0.0
2007-01-08,100000.0,100000.0,0.0,Risk-Off,58.33332576449094,0.0
2007-01-09,100000.0,100000.0,0.0,Neutral,51.184291912381696,0.0
2007-01-10,100000.0,100000.0,0.0,Neutral,42.08144044849776,0.0
2007-01-11,100000.0,100000.0,0.0,Neutral,31.72170575540987,0.0
2007-01-12,100000.0,100000.0,0.0,Neutral,39.16666666666667,0.0
2007-01-16,100000.0,100000.0,0.0,Neutral,43.88034134842769,0.0
2007-01-17,100000.0,100000.0,0.0,Neutral,47.59537972312216,0.0
2007-01-18,100000.0,100000.0,0.0,Risk-Off,58.579446663044706,0.0
2007-01-19,100000.0,100000.0,0.0,Neutral,49.16170625372828,0.0
2007-01-22,100000.0,100000.0,0.0,Risk-Off,55.3920510070597,0.0
2007-01-23,100000.0,100000.0,0.0,Neutral,44.59787160793703,0.0
2007-01-24,100000.0,100000.0,0.0,Neutral,37.354587504172805,0.0
2007-01-25,100000.0,100000.0,0.0,Neutral,54.555696935395346,0.0
2007-01-26,100000.0,100000.0,0.0,Risk-Off,55.544130826831214,0.0
2007-01-29,100000.0,100000.0,0.0,Risk-Off,59.72155648183918,0.0
2007-01-30,100000.0,100000.0,0.0,Neutral,52.61337828694914,0.0
2007-01-31,100000.0,100000.0,0.0,Neutral,53.96587190518766,0.0
2007-02-01,100000.0,100000.0,0.0,Neutral,42.80725772515595,0.0
2007-02-02,100000.0,100000.0,0.0,Neutral,39.663424352703096,0.0
2007-02-05,100000.0,100000.0,0.0,Neutral,44.80811848584898,0.0
2007-02-06,100000.0,100000.0,0.0,Neutral,45.80972485456947,0.0
2007-02-07,100000.0,100000.0,0.0,Neutral,44.48348636555366,0.0
2007-02-08,100000.0,100000.0,0.0,Neutral,48.17451081234994,0.0
2007-02-09,100000.0,100000.0,0.0,Risk-Off,58.12395027569497,0.0
2007-02-12,100000.0,100000.0,0.0,Risk-Off,58.32222955616962,0.0
2007-02-13,100000.0,100000.0,0.0,Neutral,43.786812457808836,0.0
2007-02-14,100000.0,100000.0,0.0,Neutral,44.520580281522626,0.0
2007-02-15,100000.0,100000.0,0.0,Neutral,44.28192834216087,0.0
2007-02-16,100000.0,100000.0,0.0,Neutral,38.81815052145312,0.0
2007-02-20,100000.0,100000.0,0.0,Neutral,37.26200010375687,0.0
2007-02-21,100000.0,100000.0,0.0,Neutral,44.06287588685328,0.0
2007-02-22,100000.0,100000.0,0.0,Neutral,43.26917679039943,0.0
2007-02-23,100000.0,100000.0,0.0,Neutral,49.13164582929144,0.0
2007-02-26,100000.0,100000.0,0.0,Risk-Off,56.47758231392289,0.0
2007-02-27,100000.0,100000.0,0.0,Risk-Off,60.85266165598709,0.0
2007-02-28,100000.0,100000.0,0.0,Risk-Off,58.81983019166622,0.0
2007-03-01,100000.0,100000.0,0.0,Risk-Off,56.49575441182211,0.0
2007-03-02,100000.0,100000.0,0.0,Risk-Off,63.40210066080583,0.0
2007-03-05,100000.0,100000.0,0.0,Risk-Off,64.76527029170555,0.0
2007-03-06,100000.0,100000.0,0.0,Neutral,43.53644288484925,0.0
2007-03-07,100000.0,100000.0,0.0,Neutral,45.5533376400395,0.0
2007-03-08,100000.0,100000.0,0.0,Neutral,41.60638458512678,0.0
2007-03-09,100000.0,100000.0,0.0,Neutral,38.925998756345734,0.0
2007-03-12,100000.0,100000.0,0.0,Neutral,37.1475015965561,0.0
2007-03-13,100000.0,100000.0,0.0,Neutral,53.879933776071724,0.0
2007-03-14,100000.0,100000.0,0.0,Neutral,52.72559417824797,0.0
2007-03-15,100000.0,100000.0,0.0,Neutral,46.384840793326724,0.0
2007-03-16,100000.0,100000.0,0.0,Neutral,48.35913552251097,0.0
2007-03-19,100000.0,100000.0,0.0,Neutral,41.981697967024274,0.0
2007-03-20,100000.0,100000.0,0.0,Neutral,35.68096078243161,0.0
2007-03-21,100000.0,100000.0,0.0,Neutral,33.10761125088904,0.0
2007-03-22,100000.0,100000.0,0.0,Neutral,36.56913611910506,0.0
2007-03-23,100000.0,100000.0,0.0,Neutral,37.8537904579961,0.0
2007-03-26,100000.0,100000.0,0.0,Neutral,36.026573792788284,0.0
2007-03-27,100000.0,100000.0,0.0,Neutral,42.36739109418572,0.0
2007-03-28,100000.0,100000.0,0.0,Neutral,45.1012322998047,0.0
2007-03-29,100000.0,100000.0,0.0,Neutral,44.658705734909745,0.0
2007-03-30,100000.0,100000.0,0.0,Neutral,46.06506190303098,0.0
2007-04-02,100000.0,100000.0,0.0,Neutral,42.21112574712432,0.0
2007-04-03,100000.0,100000.0,0.0,Neutral,40.18303675039637,0.0
2007-04-04,100000.0,100000.0,0.0,Neutral,36.581031108222945,0.0
2007-04-05,100000.0,100000.0,0.0,Neutral,35.8101062051272,0.0
2007-04-09,100000.0,100000.0,0.0,Neutral,37.5515337965508,0.0
2007-04-10,100000.0,100000.0,0.0,Neutral,35.110229439828814,0.0
2007-04-11,100000.0,100000.0,0.0,Neutral,41.71410395378666,0.0
2007-04-12,100000.0,100000.0,0.0,Neutral,37.118788944558425,0.0
2007-04-13,100000.0,100000.0,0.0,Neutral,38.2541955324434,0.0
2007-04-16,100000.0,100000.0,0.0,Neutral,35.06433519991999,0.0
2007-04-17,100000.0,100000.0,0.0,Neutral,37.001847991974316,0.0
2007-04-18,100000.0,100000.0,0.0,Neutral,35.10197810004695,0.0
2007-04-19,100000.0,100000.0,0.0,Neutral,38.48544781300189,0.0
2007-04-20,100000.0,100000.0,0.0,Neutral,37.45937597134654,0.0
2007-04-23,100000.0,100000.0,0.0,Neutral,37.35974538613752,0.0
2007-04-24,100000.0,100000.0,0.0,Neutral,39.18187174434788,0.0
2007-04-25,100000.0,100000.0,0.0,Neutral,37.17900330357879,0.0
2007-04-26,100000.0,100000.0,0.0,Neutral,35.694432036998265,0.0
2007-04-27,100000.0,100000.0,0.0,Neutral,39.620218594649344,0.0
2007-04-30,100000.0,100000.0,0.0,Neutral,44.22793645468202,0.0
2007-05-01,100000.0,100000.0,0.0,Neutral,39.84454373953383,0.0
2007-05-02,100000.0,100000.0,0.0,Neutral,40.08078275924946,0.0
2007-05-03,100000.0,100000.0,0.0,Neutral,40.68997713159759,0.0
2007-05-04,100000.0,100000.0,0.0,Neutral,40.602259928521406,0.0
2007-05-07,100000.0,100000.0,0.0,Neutral,39.03458964197302,0.0
2007-05-08,100000.0,100000.0,0.0,Neutral,40.41583596647697,0.0
2007-05-09,100000.0,100000.0,0.0,Neutral,37.81158449324115,0.0
2007-05-10,100000.0,100000.0,0.0,Neutral,44.8978169922032,0.0
2007-05-11,100000.0,100000.0,0.0,Neutral,37.81419018285992,0.0
2007-05-14,100000.0,100000.0,0.0,Neutral,41.744174660358446,0.0
2007-05-15,100000.0,100000.0,0.0,Neutral,45.59811628971918,0.0
2007-05-16,100000.0,100000.0,0.0,Neutral,38.32515297462523,0.0
2007-05-17,100000.0,100000.0,0.0,Neutral,40.68054904240099,0.0
2007-05-18,100000.0,100000.0,0.0,Neutral,40.8414693676971,0.0
2007-05-21,100000.0,100000.0,0.0,Neutral,36.993717706653676,0.0
2007-05-22,100000.0,100000.0,0.0,Neutral,38.74347591128209,0.0
2007-05-23,100000.0,100000.0,0.0,Neutral,43.82402912656328,0.0
2007-05-24,100000.0,100000.0,0.0,Neutral,46.54231173109434,0.0
2007-05-25,100000.0,100000.0,0.0,Neutral,41.40205789091299,0.0
2007-05-29,100000.0,100000.0,0.0,Neutral,41.67027224093708,0.0
2007-05-30,100000.0,100000.0,0.0,Neutral,40.004335456768715,0.0
2007-05-31,100000.0,100000.0,0.0,Neutral,38.802297318781584,0.0
2007-06-01,100000.0,100000.0,0.0,Neutral,40.771217083218104,0.0
2007-06-04,100000.0,100000.0,0.0,Neutral,39.392041494512576,0.0
2007-06-05,100000.0,100000.0,0.0,Neutral,41.67440408663429,0.0
2007-06-06,100000.0,100000.0,0.0,Neutral,46.08806060898711,0.0
2007-06-07,100000.0,100000.0,0.0,Neutral,53.96726810438238,0.0
2007-06-08,100000.0,100000.0,0.0,Neutral,47.38511623606579,0.0
2007-06-11,100000.0,100000.0,0.0,Neutral,47.848840323905165,0.0
2007-06-12,100000.0,100000.0,0.0,Neutral,51.549066796968695,0.0
2007-06-13,100000.0,100000.0,0.0,Neutral,45.02344503462875,0.0
2007-06-14,100000.0,100000.0,0.0,Neutral,40.77626738131585,0.0
2007-06-15,100000.0,100000.0,0.0,Neutral,42.345655216837145,0.0
2007-06-18,100000.0,100000.0,0.0,Neutral,41.55206420649108,0.0
2007-06-19,100000.0,100000.0,0.0,Neutral,41.05096592274109,0.0
2007-06-20,100000.0,100000.0,0.0,Neutral,45.631989785582725,0.0
2007-06-21,100000.0,100000.0,0.0,Neutral,42.10414427101392,0.0
2007-06-22,100000.0,100000.0,0.0,Neutral,48.68407134710967,0.0
2007-06-25,100000.0,100000.0,0.0,Neutral,51.88135779006847,0.0
2007-06-26,100000.0,100000.0,0.0,Risk-Off,56.314474734023996,0.0
2007-06-27,100000.0,100000.0,0.0,Neutral,49.99816403819741,0.0
2007-06-28,100000.0,100000.0,0.0,Neutral,47.88394578215125,0.0
2007-06-29,100000.0,100000.0,0.0,Neutral,49.11968489436443,0.0
2007-07-02,100000.0,100000.0,0.0,Neutral,43.20062848116486,0.0
2007-07-03,100000.0,100000.0,0.0,Neutral,42.10715862808763,0.0
2007-07-05,100000.0,100000.0,0.0,Neutral,46.00653454407875,0.0
2007-07-06,100000.0,100000.0,0.0,Neutral,45.4642722357366,0.0
2007-07-09,100000.0,100000.0,0.0,Neutral,42.96118440614575,0.0
2007-07-10,100000.0,100000.0,0.0,Neutral,50.61331284075118,0.0
2007-07-11,100000.0,100000.0,0.0,Neutral,49.56921847478757,0.0
2007-07-12,100000.0,100000.0,0.0,Neutral,44.321058171956466,0.0
2007-07-13,100000.0,100000.0,0.0,Neutral,45.17709487566149,0.0
2007-07-16,100000.0,100000.0,0.0,Neutral,48.95600106079101,0.0
2007-07-17,100000.0,100000.0,0.0,Neutral,43.52984593383865,0.0
2007-07-18,100000.0,100000.0,0.0,Neutral,46.075624676530474,0.0
2007-07-19,100000.0,100000.0,0.0,Neutral,42.502579695837234,0.0
2007-07-20,100000.0,100000.0,0.0,Neutral,52.21127477620123,0.0
2007-07-23,100000.0,100000.0,0.0,Neutral,49.84108600778084,0.0
2007-07-24,100000.0,100000.0,0.0,Risk-Off,58.26852005218324,0.0
2007-07-25,100000.0,100000.0,0.0,Neutral,49.37321373028009,0.0
2007-07-26,100000.0,100000.0,0.0,Risk-Off,61.07405257933789,0.0
2007-07-27,100000.0,100000.0,0.0,Risk-Off,62.08389023313059,0.0
2007-07-30,100000.0,100000.0,0.0,Risk-Off,59.39822678740356,0.0
2007-07-31,100000.0,100000.0,0.0,Risk-Off,62.280545732301576,0.0
2007-08-01,100000.0,100000.0,0.0,Risk-Off,58.865556052414185,0.0
2007-08-02,100000.0,100000.0,0.0,Neutral,54.96832236145174,0.0
2007-08-03,100000.0,100000.0,0.0,Risk-Off,60.42567214838263,0.0
2007-08-06,100000.0,100000.0,0.0,Neutral,53.440933721789456,0.0
2007-08-07,100000.0,100000.0,0.0,Neutral,52.378462116872996,0.0
2007-08-08,100000.0,100000.0,0.0,Neutral,49.981083443561694,0.0
2007-08-09,100000.0,100000.0,0.0,Risk-Off,58.00807557236405,0.0
2007-08-10,100000.0,100000.0,0.0,Risk-Off,55.57042534806439,0.0
2007-08-13,100000.0,100000.0,0.0,Risk-Off,58.16333238119801,0.0
2007-08-14,100000.0,100000.0,0.0,Risk-Off,62.337419422012914,0.0
2007-08-15,100000.0,100000.0,0.0,Risk-Off,66.91239290646543,0.0
2007-08-16,100000.0,100000.0,0.0,Risk-Off,64.06220600173441,0.0
2007-08-17,100000.0,100000.0,0.0,Neutral,53.80460586376861,0.0
2007-08-20,100000.0,100000.0,0.0,Neutral,52.10315586705294,0.0
2007-08-21,100000.0,100000.0,0.0,Neutral,50.570477061980455,0.0
2007-08-22,100000.0,100000.0,0.0,Neutral,46.173317265377555,0.0
2007-08-23,100000.0,100000.0,0.0,Neutral,47.145242084697976,0.0
2007-08-24,100000.0,100000.0,0.0,Neutral,45.25491626714519,0.0
2007-08-27,100000.0,100000.0,0.0,Neutral,47.94694181660632,0.0
2007-08-28,100000.0,100000.0,0.0,Risk-Off,55.369959635104365,0.0
2007-08-29,100000.0,100000.0,0.0,Neutral,49.38100477728112,0.0
2007-08-30,100000.0,100000.0,0.0,Neutral,52.71173512463701,0.0
2007-08-31,100000.0,100000.0,0.0,Neutral,51.657839319344234,0.0
2007-09-04,100000.0,100000.0,0.0,Neutral,46.758107715966624,0.0
2007-09-05,100000.0,100000.0,0.0,Neutral,50.3085318838033,0.0
2007-09-06,100000.0,100000.0,0.0,Neutral,49.562998370615034,0.0
2007-09-07,100000.0,100000.0,0.0,Risk-Off,55.884817814551894,0.0
2007-09-10,100000.0,100000.0,0.0,Risk-Off,56.49262611590797,0.0
2007-09-11,100000.0,100000.0,0.0,Neutral,52.517655163313755,0.0
2007-09-12,100000.0,100000.0,0.0,Neutral,52.04062323059491,0.0
2007-09-13,100000.0,100000.0,0.0,Neutral,51.654246381524956,0.0
2007-09-14,100000.0,100000.0,0.0,Neutral,50.48321432023216,0.0
2007-09-17,100000.0,100000.0,0.0,Neutral,50.72802173124288,0.0
2007-09-18,100000.0,100000.0,0.0,Neutral,42.18349108400704,0.0
2007-09-19,100000.0,100000.0,0.0,Neutral,41.170111938648766,0.0
2007-09-20,100000.0,100000.0,0.0,Neutral,41.58925014249998,0.0
2007-09-21,100000.0,100000.0,0.0,Neutral,39.40084492563979,0.0
2007-09-24,100000.0,100000.0,0.0,Neutral,39.70813460494477,0.0
2007-09-25,100000.0,100000.0,0.0,Neutral,39.13507784609007,0.0
2007-09-26,100000.0,100000.0,0.0,Neutral,38.71948833960121,0.0
2007-09-27,100000.0,100000.0,0.0,Neutral,39.95859637748939,0.0
2007-09-28,100000.0,100000.0,0.0,Neutral,41.05219496741695,0.0
2007-10-01,100000.0,100000.0,0.0,Neutral,38.26395848212637,0.0
2007-10-02,100000.0,100000.0,0.0,Neutral,41.4921337380117,0.0
2007-10-03,100000.0,100000.0,0.0,Neutral,44.711244341589506,0.0
2007-10-04,100000.0,100000.0,0.0,Neutral,42.82435389316037,0.0
2007-10-05,100000.0,100000.0,0.0,Neutral,40.02997046323934,0.0
2007-10-08,100000.0,100000.0,0.0,Neutral,37.61275631571226,0.0
2007-10-09,100000.0,100000.0,0.0,Neutral,38.52160972243064,0.0
